,area_type,location,total_sqft,bath,balcony,price,BHK,price_per_sqft
2895,Super built-up  Area,Raja Rajeshwari Nagar,1580.0,3.0,3.0,53.56,3,3389.8734177215188
2896,Super built-up  Area,Thanisandra,1111.0,2.0,1.0,50.0,2,4500.450045004501
2898,Super built-up  Area,Varthur,977.0,2.0,2.0,36.0,2,3684.74923234391
2899,Super built-up  Area,Gunjur Palya,674.0,1.0,1.0,19.9,2,2952.522255192878
2901,Plot  Area,Sarjapur,2540.0,4.0,1.0,115.0,4,4527.55905511811
2902,Super built-up  Area,Jakkur,1290.0,2.0,1.0,100.0,2,7751.937984496124
2904,Super built-up  Area,Abbigere,795.0,2.0,1.0,32.54,2,4093.0817610062895
2905,Super built-up  Area,Kanakpura Road,700.0,1.0,1.0,35.0,2,5000.0
2906,Built-up  Area,Ambedkar Colony,1463.0,1.0,1.0,142.0,2,9706.083390293916
2908,Super built-up  Area,Reliable Woods Layout,1306.0,2.0,2.0,58.0,3,4441.04134762634
2909,Super built-up  Area,4th T block Jayanagar,2401.0,3.0,2.0,185.0,3,7705.12286547272
2910,Plot  Area,Bommenahalli,1670.0,3.0,0.0,135.0,4,8083.832335329342
2912,Plot  Area,Marsur,1200.0,3.0,1.0,90.0,3,7500.0
2913,Super built-up  Area,Dodda Nekkundi,1804.0,3.0,2.0,121.0,3,6707.317073170731
2914,Super built-up  Area,1st Phase JP Nagar,2065.0,4.0,1.0,210.0,3,10169.49152542373
2915,Super built-up  Area,Hoskote,1225.0,3.0,1.0,40.0,3,3265.3061224489797
2916,Super built-up  Area,Thanisandra,1185.5,2.0,0.0,58.68,2,4949.810206663855
2917,Super built-up  Area,Bellandur,900.0,2.0,2.0,56.0,2,6222.222222222223
2918,Super built-up  Area,Binny Pete,1350.0,2.0,1.0,91.0,2,6740.740740740741
2919,Super built-up  Area,Kaggalipura,700.0,1.0,0.0,36.0,1,5142.857142857143
2920,Super built-up  Area,Mysore Road,1005.0,2.0,0.0,35.175,2,3499.9999999999995
2921,Super built-up  Area,Poorna Pragna Layout,1160.0,2.0,1.0,46.39,2,3999.137931034483
2922,Super built-up  Area,Hennur Road,1680.0,3.0,2.0,99.27,3,5908.928571428572
2923,Carpet  Area,LB Shastri Nagar,1043.0,2.0,2.0,55.0,2,5273.250239693192
2924,Plot  Area,Hoskote,1200.0,4.0,1.0,120.0,4,10000.0
2925,Super built-up  Area,Hebbal,1040.0,2.0,2.0,46.0,2,4423.076923076923
2926,Super built-up  Area,Tindlu,1357.0,2.0,2.0,65.0,3,4789.977892409727
2928,Super built-up  Area,Vibhutipura Extension,1225.0,2.0,2.0,47.0,2,3836.734693877551
2930,Super built-up  Area,Yelachenahalli,1130.0,2.0,2.0,40.0,2,3539.8230088495575
2931,Built-up  Area,Basavangudi,2500.0,4.0,1.0,150.0,4,6000.0
2932,Carpet  Area,Sultan Palaya,1700.0,3.0,3.0,120.0,3,7058.823529411765
2933,Super built-up  Area,Doddathoguru,1549.0,3.0,2.0,65.0,3,4196.255648805681
2934,Super built-up  Area,Yeshwanthpur,1400.0,2.0,2.0,100.0,2,7142.857142857143
2935,Super built-up  Area,Dodda Nekkundi,1080.0,2.0,2.0,50.0,2,4629.62962962963
2936,Built-up  Area,Ulsoor,1180.0,2.0,2.0,100.0,2,8474.57627118644
2938,Super built-up  Area,Domlur,1800.0,3.0,2.0,150.0,3,8333.333333333334
2939,Super built-up  Area,Haralur Road,1225.0,2.0,1.0,67.38,2,5500.408163265306
2940,Built-up  Area,Chandra Layout,890.0,1.0,1.0,75.0,1,8426.966292134832
2941,Super built-up  Area,Abbigere,1005.0,2.0,1.0,39.59,2,3939.303482587065
2942,Super built-up  Area,Whitefield,1320.0,2.0,1.0,95.0,2,7196.969696969697
2943,Built-up  Area,Anandapura,1475.0,2.0,1.0,50.0,4,3389.830508474576
2944,Super built-up  Area,Kudlu Gate,1707.0,2.0,2.0,99.745,3,5843.2923257176335
2945,Super built-up  Area,Hagadur,1110.0,2.0,2.0,51.0,2,4594.594594594595
2946,Plot  Area,Popular Colony,1300.0,2.0,0.0,54.0,2,4153.846153846154
2948,Super built-up  Area,Electronic City,1128.0,2.0,1.0,65.35,2,5793.439716312056
2949,Super built-up  Area,Jakkur,1452.19,2.0,1.0,100.0,2,6886.151261198604
2951,Super built-up  Area,Banashankari,2600.0,4.0,1.0,135.0,3,5192.307692307692
2953,Built-up  Area,Sanjay nagar,630.0,1.0,1.0,35.0,2,5555.555555555556
2954,Super built-up  Area,Hosa Road,1243.0,2.0,2.0,48.5,2,3901.850362027353
2955,Built-up  Area,Soundarya Layout,960.0,2.0,2.0,32.0,2,3333.3333333333335
2956,Super built-up  Area,"Banashankari 6th Stage ,Subramanyapura",1690.0,3.0,2.0,100.0,3,5917.15976331361
2957,Built-up  Area,Whitefield,735.0,2.0,1.0,35.0,2,4761.9047619047615
2958,Super built-up  Area,Banaswadi,1365.0,2.0,2.0,73.0,2,5347.985347985348
2960,Super built-up  Area,Hebbal,1420.0,2.0,1.0,99.39,2,6999.295774647887
2961,Super built-up  Area,Somasundara Palya,1570.0,3.0,3.0,68.0,3,4331.210191082802
2962,Super built-up  Area,Bisuvanahalli,850.0,1.0,1.0,32.0,2,3764.705882352941
2963,Super built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3,6984.126984126984
2964,Super built-up  Area,Thigalarapalya,1418.0,2.0,2.0,104.0,2,7334.273624823695
2965,Super built-up  Area,Uttarahalli,1050.0,2.0,1.0,42.0,2,4000.0
2966,Super built-up  Area,Hennur Road,1065.0,2.0,1.0,42.6,2,4000.0
2967,Built-up  Area,Ulsoor,1340.0,3.0,0.0,90.0,3,6716.417910447762
2968,Super built-up  Area,Yelahanka New Town,1610.0,3.0,2.0,92.0,3,5714.285714285715
2969,Built-up  Area,Electronic City Phase II,1160.0,2.0,1.0,33.5,2,2887.9310344827586
2970,Super built-up  Area,Kudlu,1092.0,2.0,2.0,44.0,2,4029.3040293040294
2971,Super built-up  Area,Parappana Agrahara,1194.0,2.0,2.0,47.0,2,3936.348408710218
2972,Super built-up  Area,Yelahanka,1455.0,3.0,1.0,61.5,3,4226.80412371134
2973,Super built-up  Area,Abbigere,734.0,1.0,0.0,19.82,1,2700.272479564033
2974,Built-up  Area,Samethanahalli,799.0,2.0,1.0,38.0,2,4755.944931163955
2975,Built-up  Area,Whitefield,1896.0,3.0,1.0,75.0,3,3955.6962025316457
2976,Super built-up  Area,Ardendale,1100.0,2.0,1.0,48.0,2,4363.636363636364
2977,Built-up  Area,Bellandur,1350.0,2.0,1.0,79.0,2,5851.851851851852
2978,Super built-up  Area,Amarjyothi Colony,1355.0,3.0,1.0,61.0,3,4501.845018450184
2979,Super built-up  Area,Electronic City,1128.0,2.0,1.0,65.0,2,5762.41134751773
2980,Plot  Area,Pattanagere,1350.0,2.0,0.0,90.0,2,6666.666666666667
2982,Super built-up  Area,Kasavanhalli,1493.0,3.0,2.0,82.0,3,5492.297387809779
2983,Super built-up  Area,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2,3999.089253187614
2984,Super built-up  Area,Banashankari,1900.0,2.0,1.0,170.0,3,8947.368421052632
2985,Super built-up  Area,Dollars Layout,1460.0,3.0,2.0,88.0,3,6027.397260273972
2987,Plot  Area,Horamavu Banaswadi,1600.0,5.0,3.0,140.0,5,8750.0
2988,Super built-up  Area,Varthur,1091.0,2.0,1.0,32.0,2,2933.0889092575617
2989,Super built-up  Area,Yelahanka,1180.0,2.0,3.0,42.0,2,3559.322033898305
2990,Super built-up  Area,Kanakpura Road,1366.0,3.0,1.0,76.85,2,5625.915080527086
2991,Super built-up  Area,RMV Extension,1685.0,3.0,2.0,95.0,3,5637.982195845697
2992,Built-up  Area,Koramangala,1260.0,2.0,3.0,100.0,2,7936.507936507936
2993,Plot  Area,Whitefield,3010.0,3.0,2.0,200.0,3,6644.518272425249
2996,Super built-up  Area,Whitefield,1346.0,2.0,1.0,96.17,2,7144.873699851411
2997,Super built-up  Area,Chandapura,630.0,1.0,0.0,13.86,1,2200.0
2998,Super built-up  Area,Sarjapur  Road,1476.0,2.0,2.0,98.94,3,6703.252032520325
2999,Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3,7567.5675675675675
3001,Super built-up  Area,Electronic City,755.0,1.0,1.0,34.0,2,4503.311258278146
3003,Super built-up  Area,Parappana Agrahara,1194.0,2.0,2.0,46.0,2,3852.5963149078725
3004,Super built-up  Area,Whitefield,3850.0,5.0,2.0,316.0,3,8207.792207792209
3005,Super built-up  Area,Hebbal,4235.0,4.0,2.0,365.0,4,8618.654073199528
3006,Plot  Area,Kurubarahalli,800.0,1.0,0.0,52.0,1,6500.0
3007,Super built-up  Area,Rachenahalli,2250.0,3.0,1.0,195.0,3,8666.666666666666
3008,Super built-up  Area,Vijayanagar,1352.0,2.0,2.0,68.0,2,5029.585798816568
3009,Super built-up  Area,Thanisandra,2002.0,3.0,2.0,112.0,3,5594.4055944055945
3010,Plot  Area,Bileshivale,4000.0,5.0,1.0,280.0,4,7000.0
3011,Built-up  Area,Kaval Byrasandra,1060.0,2.0,2.0,45.0,2,4245.2830188679245
3012,Super built-up  Area,Kanakpura Road,1419.59,2.0,1.0,59.0,3,4156.129586711656
3013,Super built-up  Area,Raja Rajeshwari Nagar,1196.0,2.0,2.0,51.15,2,4276.755852842809
3014,Built-up  Area,Electronic City,1220.0,2.0,2.0,35.24,3,2888.5245901639346
3015,Super built-up  Area,Electronics City Phase 1,1595.0,3.0,2.0,75.0,3,4702.194357366771
3016,Super built-up  Area,Banashankari,1260.0,2.0,3.0,75.0,2,5952.380952380952
3017,Super built-up  Area,Hebbal,1100.0,2.0,2.0,47.0,2,4272.727272727273
3018,Super built-up  Area,Frazer Town,1550.0,2.0,2.0,140.0,2,9032.258064516129
3019,Super built-up  Area,ISRO Layout,1180.0,2.0,3.0,52.0,2,4406.779661016949
3020,Plot  Area,Electronic City,4000.0,5.0,1.0,150.0,4,3750.0
3021,Built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,85.0,3,5114.320096269555
3022,Super built-up  Area,Hennur,1285.0,2.0,1.0,60.0,2,4669.260700389105
3024,Super built-up  Area,Ambedkar Nagar,1862.0,3.0,2.0,119.0,3,6390.977443609023
3025,Super built-up  Area,Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.0,2,3382.663847780127
3026,Built-up  Area,Whitefield,1410.0,3.0,2.0,43.71,3,3100.0
3027,Super built-up  Area,Raja Rajeshwari Nagar,1560.0,2.0,2.0,62.4,3,4000.0
3029,Super built-up  Area,Thanisandra,1634.0,3.0,3.0,78.0,3,4773.561811505508
3031,Built-up  Area,Whitefield,1150.0,2.0,3.0,44.0,3,3826.086956521739
3032,Super built-up  Area,Ashirvad Colony,1100.0,2.0,2.0,53.0,2,4818.181818181818
3033,Super built-up  Area,Yelahanka,1616.0,3.0,1.0,65.0,3,4022.2772277227723
3034,Super built-up  Area,Nagavarapalya,1392.0,2.0,1.0,99.0,2,7112.068965517241
3035,Super built-up  Area,Jakkur,1798.0,3.0,1.0,120.0,3,6674.082313681869
3036,Super built-up  Area,Babusapalaya,1675.0,3.0,3.0,75.0,3,4477.611940298508
3037,Plot  Area,Bhuvaneswari Nagar,792.0,2.0,1.0,70.0,2,8838.38383838384
3038,Super built-up  Area,Varanasi,2000.0,4.0,1.0,103.0,5,5150.0
3040,Super built-up  Area,Hebbal,1700.0,3.0,2.0,124.0,3,7294.117647058823
3041,Super built-up  Area,Hulimavu,1248.0,2.0,1.0,69.0,2,5528.846153846154
3042,Built-up  Area,Kalkere,1147.0,2.0,1.0,54.0,2,4707.933740191805
3043,Super built-up  Area,Sultan Palaya,1100.0,2.0,2.0,40.0,2,3636.3636363636365
3044,Super built-up  Area,Vijayanagar,1527.0,3.0,2.0,115.0,3,7531.106745252128
3045,Plot  Area,Shantiniketan Layout,2400.0,5.0,2.0,235.0,5,9791.666666666666
3046,Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,25.0,1,4761.9047619047615
3047,Super built-up  Area,Kaggadasapura,1100.0,2.0,3.0,58.0,2,5272.727272727273
3048,Super built-up  Area,Seegehalli,1118.0,2.0,2.0,37.5,2,3354.2039355992843
3049,Super built-up  Area,Kanakapura,1476.0,3.0,1.0,75.0,3,5081.30081300813
3050,Built-up  Area,Gopal Reddy Layout,2100.0,3.0,1.0,75.0,3,3571.4285714285716
3051,Super built-up  Area,Roopena Agrahara,1215.0,2.0,2.0,46.5,3,3827.1604938271603
3052,Super built-up  Area,Ambalipura,1332.0,2.0,1.0,79.0,2,5930.930930930931
3053,Super built-up  Area,Hennur Road,1350.0,2.0,3.0,49.0,2,3629.6296296296296
3055,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2,3700.7240547063557
3056,Super built-up  Area,NGR Layout,1105.0,2.0,2.0,49.73,2,4500.4524886877825
3058,Super built-up  Area,Kasavanhalli,1200.0,2.0,2.0,50.0,2,4166.666666666667
3059,Super built-up  Area,Ramagondanahalli,1251.0,2.0,1.0,47.4,2,3788.968824940048
3060,Super built-up  Area,Kambipura,883.0,2.0,1.0,45.0,2,5096.262740656852
3061,Super built-up  Area,Pai Layout,1400.0,2.0,3.0,67.0,3,4785.714285714285
3063,Super built-up  Area,Hegde Nagar,1703.0,3.0,2.0,113.0,3,6635.3493834409865
3064,Super built-up  Area,NRI Layout,2500.0,5.0,3.0,130.0,5,5200.0
3065,Super built-up  Area,Varthur,1250.0,3.0,2.0,71.0,3,5680.0
3066,Super built-up  Area,Jigani,933.0,2.0,2.0,43.0,2,4608.788853161844
3067,Plot  Area,sankeswari,461.82,1.0,1.0,31.7,1,6864.146204148803
3068,Super built-up  Area,Brookefield,1262.0,2.0,1.0,75.0,2,5942.947702060222
3069,Super built-up  Area,Yelahanka,915.0,2.0,2.0,48.0,2,5245.901639344263
3070,Super built-up  Area,Panathur,1370.0,2.0,2.0,61.5,3,4489.051094890511
3071,Super built-up  Area,Malleshpalya,1210.0,2.0,3.0,55.0,2,4545.454545454545
3073,Plot  Area,T c palya,1500.0,2.0,0.0,85.0,3,5666.666666666667
3074,Super built-up  Area,Govindraja Nagar,1065.0,2.0,3.0,50.0,2,4694.835680751174
3076,Super built-up  Area,Ramamurthy Nagar,1515.0,3.0,3.0,65.0,3,4290.42904290429
3077,Plot  Area,Sarjapura - Attibele Road,1800.0,4.0,2.0,110.0,4,6111.111111111111
3078,Super built-up  Area,Thanisandra,1445.0,2.0,3.0,40.31,3,2789.61937716263
3079,Super built-up  Area,Uttarahalli,1300.0,2.0,1.0,55.0,3,4230.7692307692305
3080,Built-up  Area,Vijayanagar,989.0,2.0,0.0,60.0,2,6066.734074823054
3081,Super built-up  Area,Jakkur,1300.0,2.0,1.0,85.0,2,6538.461538461538
3082,Super built-up  Area,Chandapura,1185.0,2.0,2.0,30.22,3,2550.2109704641352
3084,Super built-up  Area,Marathahalli,1045.0,2.0,3.0,60.0,2,5741.626794258374
3085,Super built-up  Area,Virat Nagar,1205.0,2.0,2.0,42.18,2,3500.414937759336
3086,Super built-up  Area,Chennammanakere Achukattu,1260.0,2.0,1.0,75.0,2,5952.380952380952
3088,Super built-up  Area,Ulsoor,1500.0,2.0,2.0,125.0,3,8333.333333333334
3089,Super built-up  Area,Bommanahalli,1250.0,2.0,2.0,42.5,3,3400.0
3090,Built-up  Area,"Maragondana Halli, kr puram, old madras road",1199.0,2.0,2.0,50.0,2,4170.141784820684
3091,Super built-up  Area,Hennur Road,1385.0,2.0,1.0,83.09,2,5999.27797833935
3093,Super built-up  Area,Lakshminarayana Pura,1149.0,2.0,1.0,75.0,2,6527.415143603133
3094,Super built-up  Area,Sarjapur  Road,2180.0,3.0,2.0,170.0,3,7798.165137614679
3096,Super built-up  Area,Jp nagar 8th Phase .,12000.0,12.0,2.0,525.0,10,4375.0
3098,Super built-up  Area,Hulimavu,1818.0,3.0,1.0,135.0,3,7425.742574257426
3099,Super built-up  Area,Volagerekallahalli,1070.0,2.0,2.0,33.0,2,3084.11214953271
3101,Built-up  Area,Nagarbhavi,1350.0,2.0,2.0,54.6,3,4044.4444444444443
3102,Built-up  Area,Chandapura,630.0,1.0,1.0,27.0,2,4285.714285714285
3103,Super built-up  Area,Hoodi,1430.0,2.0,2.0,113.0,2,7902.097902097902
3104,Super built-up  Area,Nagavara,2430.0,4.0,3.0,180.0,3,7407.407407407408
3106,Super built-up  Area,Sarjapur  Road,1084.0,2.0,3.0,55.0,2,5073.8007380073805
3107,Super built-up  Area,Hennur Road,1186.0,2.0,1.0,56.0,3,4721.753794266442
3108,Built-up  Area,Kengeri,1255.0,2.0,2.0,50.0,2,3984.06374501992
3109,Super built-up  Area,Haralur Road,3400.0,5.0,3.0,240.0,4,7058.823529411765
3110,Super built-up  Area,Hosa Road,1541.0,3.0,1.0,69.84,3,4532.121998702141
3111,Super built-up  Area,Iblur Village,3596.0,5.0,1.0,282.0,4,7842.046718576195
3112,Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,2.0,70.0,2,5405.405405405405
3114,Built-up  Area,Sanjeevini Nagar,2820.0,3.0,2.0,285.0,3,10106.382978723404
3115,Super built-up  Area,7th Phase JP Nagar,1370.0,2.0,2.0,54.79,3,3999.2700729927005
3116,Super built-up  Area,Electronic City,1100.0,2.0,1.0,40.0,2,3636.3636363636365
3119,Super built-up  Area,7th Phase JP Nagar,1370.0,2.0,1.0,54.79,3,3999.2700729927005
3120,Super built-up  Area,JP Nagar,1200.0,2.0,2.0,62.0,2,5166.666666666667
3121,Plot  Area,Gunjur,2000.0,3.0,0.0,95.0,4,4750.0
3122,Built-up  Area,9th Phase JP Nagar,3500.0,4.0,2.0,300.0,4,8571.42857142857
3125,Super built-up  Area,Sarjapur  Road,1220.0,3.0,2.0,62.0,3,5081.9672131147545
3126,Built-up  Area,Kanakapura Road,1950.0,3.0,2.0,130.0,3,6666.666666666667
3127,Super built-up  Area,Somasundara Palya,1178.0,2.0,3.0,73.0,2,6196.9439728353145
3128,Super built-up  Area,Dasanapura,1286.0,3.0,2.0,61.44,3,4777.604976671851
3129,Super built-up  Area,Begur Road,1160.0,2.0,2.0,42.0,2,3620.689655172414
3130,Super built-up  Area,Jigani,918.0,2.0,2.0,55.0,2,5991.285403050109
3131,Super built-up  Area,Electronic City,1563.0,3.0,2.0,91.84,3,5875.879718490083
3132,Super built-up  Area,Govindpura,1326.0,2.0,1.0,62.17,2,4688.536953242836
3133,Super built-up  Area,3rd Block Jayanagar,1350.0,2.0,2.0,140.0,3,10370.37037037037
3134,Super built-up  Area,Hebbal,3960.0,5.0,3.0,386.0,4,9747.474747474747
3135,Super built-up  Area,Begur Road,1240.0,2.0,2.0,39.06,2,3150.0
3136,Super built-up  Area,Kaggadasapura,1325.0,2.0,2.0,50.0,2,3773.5849056603774
3137,Super built-up  Area,Sonnenahalli,1100.0,2.0,1.0,44.0,2,4000.0
3139,Super built-up  Area,Gollarapalya Hosahalli,1605.0,3.0,2.0,50.0,3,3115.264797507788
3140,Super built-up  Area,Hennur Road,5600.0,5.0,3.0,515.0,5,9196.42857142857
3141,Super built-up  Area,Somasundara Palya,1260.0,2.0,1.0,60.0,2,4761.9047619047615
3142,Super built-up  Area,Hoodi,1553.0,3.0,2.0,83.09,3,5350.289761751449
3143,Super built-up  Area,Whitefield,1280.0,2.0,2.0,52.0,2,4062.5
3144,Super built-up  Area,Hebbal,1550.0,2.0,2.0,75.0,3,4838.709677419355
3145,Super built-up  Area,Arekere,1445.0,2.0,2.0,125.0,3,8650.519031141868
3146,Super built-up  Area,Murugeshpalya,1550.0,3.0,2.0,74.0,3,4774.193548387097
3147,Super built-up  Area,Electronics City Phase 1,1515.0,2.0,1.0,80.91,3,5340.59405940594
3148,Super built-up  Area,Hosa Road,1332.0,2.0,1.0,86.12,3,6465.465465465465
3149,Super built-up  Area,Electronic City,1652.0,3.0,2.0,70.0,3,4237.28813559322
3150,Super built-up  Area,Hegde Nagar,1570.0,3.0,1.0,105.0,3,6687.898089171975
3152,Super built-up  Area,Sector 2 HSR Layout,794.0,1.0,1.0,60.0,1,7556.675062972292
3153,Plot  Area,Seegehalli,1200.0,2.0,0.0,62.0,3,5166.666666666667
3158,Super built-up  Area,HRBR Layout,2800.0,3.0,2.0,250.0,3,8928.57142857143
3159,Super built-up  Area,Sarjapur  Road,1750.0,3.0,2.0,110.0,3,6285.714285714285
3160,Built-up  Area,Hebbal,1053.0,2.0,1.0,48.0,2,4558.404558404558
3161,Super built-up  Area,Kanakpura Road,1100.0,3.0,2.0,53.0,3,4818.181818181818
3162,Super built-up  Area,Kadubeesanahalli,1665.0,3.0,3.0,70.0,3,4204.204204204204
3163,Plot  Area,Outer Ring Road East,4051.0,4.0,3.0,345.0,4,8516.415699827203
3165,Built-up  Area,Bommasandra,1447.0,3.0,2.0,80.0,3,5528.6800276434005
3166,Built-up  Area,Balagere,1012.0,2.0,1.0,75.0,2,7411.067193675889
3167,Super built-up  Area,Malleshpalya,1900.0,3.0,2.0,60.0,3,3157.8947368421054
3168,Super built-up  Area,Narayanapura,1308.0,2.0,2.0,92.66,2,7084.0978593272175
3169,Super built-up  Area,Green Glen Layout,3250.0,4.0,2.0,230.0,4,7076.923076923077
3170,Super built-up  Area,Hormavu,1351.0,2.0,1.0,53.0,1,3923.019985196151
3171,Super built-up  Area,Electronic City,1000.0,2.0,2.0,22.0,2,2200.0
3173,Super built-up  Area,Gunjur,1140.0,2.0,2.0,49.11,2,4307.894736842105
3174,Super built-up  Area,Jakkur,3181.0,4.0,0.0,260.5,4,8189.248663942157
3175,Built-up  Area,Uttarahalli,1250.0,2.0,1.0,55.0,3,4400.0
3176,Super built-up  Area,Kanakapura,1290.0,3.0,3.0,45.15,3,3500.0
3177,Super built-up  Area,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2,6320.224719101124
3178,Super built-up  Area,Garudachar Palya,1320.0,2.0,2.0,60.6,3,4590.909090909091
3179,Built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,85.5,3,5144.404332129964
3181,Super built-up  Area,Begur Road,1200.0,2.0,2.0,45.0,2,3750.0
3183,Super built-up  Area,Garudachar Palya,1295.0,2.0,2.0,59.5,3,4594.594594594595
3184,Super built-up  Area,Battarahalli,1777.0,3.0,2.0,100.0,3,5627.462014631401
3185,Super built-up  Area,Kadugodi,1900.0,3.0,2.0,108.0,3,5684.210526315789
3186,Super built-up  Area,Anandapura,1576.0,3.0,2.0,59.1,3,3750.0
3187,Super built-up  Area,Sompura,1020.0,2.0,3.0,41.0,2,4019.607843137255
3188,Super built-up  Area,Green Domain Layout,2100.0,3.0,3.0,170.0,3,8095.238095238095
3189,Super built-up  Area,Raja Rajeshwari Nagar,648.0,1.0,1.0,31.75,1,4899.691358024691
3190,Super built-up  Area,Neeladri Nagar,1167.0,2.0,1.0,38.0,3,3256.212510711225
3192,Super built-up  Area,Hoodi,1220.0,2.0,2.0,50.89,2,4171.311475409836
3194,Super built-up  Area,Vittasandra,1259.0,2.0,1.0,67.4,2,5353.455123113583
3195,Built-up  Area,Gottigere,2000.0,4.0,2.0,82.0,4,4100.0
3196,Super built-up  Area,8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3,4444.444444444444
3197,Built-up  Area,Cleveland Town,1991.0,3.0,2.0,160.0,3,8036.162732295329
3198,Super built-up  Area,Bannerghatta,1665.0,3.0,3.0,110.0,3,6606.606606606607
3199,Built-up  Area,"Hoodi Circle, ",1234.0,2.0,1.0,61.0,2,4943.273905996759
3200,Super built-up  Area,Mysore Road,1340.0,2.0,2.0,64.31,3,4799.253731343284
3201,Super built-up  Area,Banashankari,1170.0,2.0,2.0,46.79,2,3999.1452991452993
3202,Built-up  Area,Electronics City Phase 1,995.0,2.0,0.0,46.0,2,4623.115577889447
3203,Super built-up  Area,Old Airport Road,1075.0,2.0,2.0,60.0,2,5581.395348837209
3204,Super built-up  Area,Electronic City,1025.0,2.0,1.0,54.5,2,5317.073170731707
3205,Super built-up  Area,Rachenahalli,2721.0,3.0,2.0,113.0,3,4152.884968761485
3206,Super built-up  Area,Thanisandra,2000.0,3.0,2.0,99.0,3,4950.0
3207,Super built-up  Area,Whitefield,2500.0,4.0,3.0,155.0,4,6200.0
3208,Super built-up  Area,Mallasandra,1325.0,2.0,2.0,70.0,2,5283.018867924528
3209,Super built-up  Area,Kadugodi,1314.0,2.0,3.0,68.2,2,5190.258751902587
3210,Super built-up  Area,Kanakpura Road,2265.0,3.0,2.0,136.0,3,6004.415011037528
3211,Built-up  Area,7th Phase JP Nagar,4800.0,7.0,0.0,170.0,7,3541.6666666666665
3212,Super built-up  Area,Yelahanka,1026.0,2.0,1.0,41.0,2,3996.101364522417
3213,Built-up  Area,Syndicate Bank Colony,1200.0,3.0,2.0,66.0,3,5500.0
3214,Built-up  Area,Kada Agrahara,2220.0,4.0,2.0,65.0,3,2927.927927927928
3215,Super built-up  Area,KR Puram,1192.5,2.0,0.0,51.22,2,4295.17819706499
3216,Super built-up  Area,Hebbal,1420.0,2.0,1.0,99.39,2,6999.295774647887
3217,Super built-up  Area,Sarjapur  Road,1888.0,4.0,1.0,95.0,3,5031.779661016949
3218,Super built-up  Area,JP Nagar,1300.0,2.0,1.0,90.87,2,6990.0
3219,Super built-up  Area,Rajaji Nagar,1216.0,2.0,0.0,97.16,2,7990.131578947368
3221,Built-up  Area,Begur,1559.0,3.0,2.0,63.0,3,4041.0519563822963
3222,Super built-up  Area,Harlur,1290.0,2.0,1.0,87.0,2,6744.186046511628
3223,Plot  Area,M C Layout,2400.0,6.0,2.0,245.0,6,10208.333333333334
3224,Built-up  Area,Whitefield,905.0,1.0,1.0,55.0,1,6077.348066298343
3225,Built-up  Area,Nanjappa Layout,1069.0,2.0,2.0,55.0,2,5144.9953227315245
3226,Super built-up  Area,Sarjapura - Attibele Road,829.0,2.0,1.0,22.8,2,2750.301568154403
3229,Built-up  Area,Sarjapur  Road,1300.0,3.0,2.0,60.0,3,4615.384615384615
3230,Super built-up  Area,Channasandra,1115.0,2.0,1.0,33.45,2,3000.0000000000005
3232,Super built-up  Area,Ambedkar Nagar,2150.0,4.0,2.0,125.0,3,5813.953488372093
3233,Super built-up  Area,Marathahalli,1305.0,2.0,1.0,69.0,3,5287.35632183908
3234,Super built-up  Area,Kanakpura Road,1252.0,2.0,1.0,56.32,2,4498.402555910543
3235,Plot  Area,Hosakerehalli,2400.0,5.0,2.0,250.0,5,10416.666666666666
3236,Plot  Area,Whitefield,1200.0,2.0,1.0,46.13,2,3844.1666666666665
3237,Built-up  Area,Koramangala,1750.0,3.0,1.0,130.0,3,7428.571428571428
3239,Plot  Area,BEL Layout,1375.0,2.0,1.0,105.0,2,7636.363636363636
3240,Super built-up  Area,Subramanyapura,1313.0,2.0,2.0,66.5,2,5064.737242955065
3241,Plot  Area,Attibele,3640.0,4.0,1.0,275.0,4,7554.945054945055
3242,Super built-up  Area,Akshayanagara East,1693.0,3.0,2.0,108.0,3,6379.208505611341
3243,Super built-up  Area,JCR Layout,1160.0,2.0,1.0,41.75,2,3599.137931034483
3245,Super built-up  Area,Subramanyapura,1255.0,2.0,2.0,79.0,3,6294.820717131474
3247,Built-up  Area,Bellari Road,900.0,2.0,1.0,45.0,2,5000.0
3248,Super built-up  Area,Yelahanka New Town,1700.0,3.0,2.0,90.0,3,5294.117647058823
3249,Carpet  Area,Indira Nagar,1875.0,3.0,1.0,180.0,3,9600.0
3250,Carpet  Area,Uttarahalli,1700.0,3.0,2.0,88.0,3,5176.470588235294
3251,Super built-up  Area,Harlur,1749.0,3.0,2.0,115.0,3,6575.18582046884
3252,Plot  Area,Dasanapura,1500.0,3.0,1.0,65.0,2,4333.333333333333
